"";"Species";"Ter";"Fos";"Aqu";"Arb";"Dir";"Lar";"Viv";"Litter_size_max_n"
"1";"Abavorana_luctuosa";1;NA;1;NA;0;1;0;NA
"2";"Acris_crepitans";1;NA;1;1;0;1;0;500
"3";"Acris_gryllus";1;NA;1;1;0;1;0;250
"4";"Adelotus_brevis";1;1;1;NA;0;1;0;243
"5";"Adenomera_bokermanni";1;NA;NA;NA;0;1;0;NA
"6";"Adenomera_hylaedactyla";1;NA;1;NA;0;1;0;15
"7";"Adenomera_marmorata";1;NA;NA;NA;0;1;0;14
"8";"Adenomus_kandianus";NA;NA;1;NA;0;1;0;NA
"9";"Adenomus_kelaartii";1;NA;1;1;0;1;0;1000
"10";"Afrixalus_delicatus";NA;NA;1;1;0;1;0;50
"11";"Afrixalus_dorsalis";NA;NA;1;1;0;1;0;100
"12";"Afrixalus_fornasini";1;NA;1;1;0;1;0;81
"13";"Afrixalus_laevis";NA;NA;1;1;0;1;0;NA
"14";"Afrixalus_nigeriensis";NA;NA;1;1;0;1;0;NA
"15";"Afrixalus_paradorsalis";NA;NA;1;1;0;1;0;NA
"16";"Afrixalus_stuhlmanni";1;NA;1;1;0;1;0;NA
"17";"Afrixalus_vittiger";1;NA;1;1;0;1;0;100
"18";"Afrixalus_weidholzi";1;NA;1;1;0;1;0;180
"19";"Agalychnis_aspera";1;NA;1;NA;NA;NA;NA;NA
"20";"Agalychnis_callidryas";1;NA;1;1;0;1;0;265
"21";"Agalychnis_spurrelli";1;NA;NA;1;0;1;0;265
"22";"Aglyptodactylus_laticeps";1;NA;1;1;0;1;0;3636
"23";"Aglyptodactylus_madagascariensis";1;NA;1;1;0;1;0;1600
"24";"Aglyptodactylus_securifer";1;NA;1;1;0;1;0;3636
"25";"Alcalus_baluensis";1;NA;1;NA;1;0;0;NA
"26";"Alcalus_mariae";1;NA;1;1;1;0;0;NA
"27";"Alcalus_sariba";NA;NA;NA;NA;NA;NA;NA;NA
"28";"Allobates_chalcopis";1;NA;NA;NA;0;1;0;NA
"29";"Allobates_femoralis";1;NA;1;NA;0;1;0;48
"30";"Allobates_olfersioides";1;NA;NA;NA;0;1;0;11
"31";"Allobates_talamancae";1;NA;1;NA;0;1;0;50
"32";"Alsodes_australis";1;NA;1;NA;0;1;0;NA
"33";"Alsodes_coppingeri";NA;NA;NA;NA;NA;NA;NA;NA
"34";"Alsodes_kaweshkari";1;NA;1;NA;0;1;0;NA
"35";"Alytes_muletensis";1;NA;NA;1;0;1;0;20
"36";"Amietia_poyntoni";1;NA;1;NA;0;1;0;NA
"37";"Amnirana_albolabris";1;NA;1;NA;0;1;0;NA
"38";"Amnirana_galamensis";1;NA;1;NA;0;1;0;5135
"39";"Amnirana_occidentalis";1;NA;NA;NA;0;1;0;NA
"40";"Amolops_hainanensis";1;NA;1;1;0;1;0;NA
"41";"Amolops_hongkongensis";1;NA;1;1;0;1;0;NA
"42";"Amolops_torrentis";1;NA;1;1;0;1;0;NA
"43";"Anaxyrus_americanus";1;NA;NA;NA;0;1;0;20000
"44";"Anaxyrus_boreas";1;NA;NA;NA;0;1;0;16500
"45";"Anaxyrus_fowleri";1;NA;NA;NA;0;1;0;10000
"46";"Anaxyrus_kelloggi";1;NA;NA;NA;0;1;0;NA
"47";"Anaxyrus_punctatus";1;1;NA;NA;0;1;0;5000
"48";"Anaxyrus_quercicus";1;1;NA;NA;0;1;0;6000
"49";"Anaxyrus_terrestris";1;1;NA;NA;0;1;0;4000
"50";"Anaxyrus_woodhousii";1;1;NA;NA;0;1;0;28500
"51";"Andinobates_claudiae";1;NA;NA;NA;0;1;0;4
"52";"Anilany_helenae";1;NA;1;NA;0;1;0;NA
"53";"Anodonthyla_emilei";NA;NA;NA;1;NA;NA;NA;NA
"54";"Anodonthyla_hutchisoni";1;NA;NA;1;0;1;0;29
"55";"Anodonthyla_jeanbai";NA;NA;NA;1;NA;NA;NA;NA
"56";"Anodonthyla_montana";1;NA;1;NA;0;1;0;NA
"57";"Anodonthyla_moramora";NA;NA;NA;NA;0;1;0;NA
"58";"Anodonthyla_nigrigularis";1;NA;NA;1;0;1;0;NA
"59";"Anodonthyla_pollicaris";NA;NA;NA;1;NA;NA;NA;NA
"60";"Anodonthyla_rouxae";1;NA;NA;1;0;1;0;NA
"61";"Anodonthyla_theoi";NA;NA;NA;1;NA;NA;NA;NA
"62";"Anodonthyla_vallani";NA;NA;NA;1;NA;NA;NA;NA
"63";"Ansonia_albomaculata";1;NA;1;NA;0;1;0;NA
"64";"Ansonia_echinata";NA;NA;NA;NA;NA;NA;NA;NA
"65";"Ansonia_fuliginea";1;NA;1;NA;0;1;0;NA
"66";"Ansonia_glandulosa";1;NA;1;NA;0;1;0;NA
"67";"Ansonia_guibei";1;NA;1;NA;0;1;0;NA
"68";"Ansonia_hanitschi";1;NA;1;NA;0;1;0;NA
"69";"Ansonia_kraensis";1;NA;1;NA;0;1;0;NA
"70";"Ansonia_latidisca";1;NA;1;NA;0;1;0;NA
"71";"Ansonia_leptopus";1;NA;1;NA;0;1;0;NA
"72";"Ansonia_longidigita";1;NA;1;NA;0;1;0;NA
"73";"Ansonia_malayana";1;NA;1;NA;0;1;0;300
"74";"Ansonia_mcgregori";1;NA;1;1;0;1;0;NA
"75";"Ansonia_minuta";1;NA;1;NA;0;1;0;NA
"76";"Ansonia_muelleri";1;NA;1;1;0;1;0;NA
"77";"Ansonia_penangensis";1;NA;1;1;0;1;0;NA
"78";"Ansonia_platysoma";1;NA;1;NA;0;1;0;NA
"79";"Ansonia_spinulifer";1;NA;1;NA;0;1;0;NA
"80";"Ansonia_tiomanica";1;NA;1;NA;0;1;0;NA
"81";"Ansonia_torrentis";1;NA;1;1;0;1;0;NA
"82";"Aparasphenodon_brunoi";1;NA;1;1;0;1;0;NA
"83";"Aphantophryne_minuta";1;NA;1;NA;1;0;0;NA
"84";"Aphantophryne_nana";1;NA;NA;1;1;0;0;NA
"85";"Aphantophryne_pansa";1;NA;1;NA;1;0;0;30
"86";"Aphantophryne_sabini";1;NA;1;NA;1;0;0;18
"87";"Aplastodiscus_eugenioi";NA;NA;1;1;0;1;0;88
"88";"Aplastodiscus_leucopygius";1;NA;1;1;0;1;0;322
"89";"Aplastodiscus_sibilatus";1;NA;1;NA;0;1;0;NA
"90";"Arcovomer_passarellii";1;NA;1;NA;0;1;0;203
"91";"Arenophryne_rotunda";1;1;1;NA;1;0;0;11
"92";"Arthroleptis_adelphus";1;NA;1;NA;1;0;0;NA
"93";"Arthroleptis_bioko";1;NA;NA;NA;NA;NA;NA;NA
"94";"Arthroleptis_poecilonotus";1;NA;1;1;1;0;0;30
"95";"Arthroleptis_stenodactylus";1;NA;1;NA;1;0;0;80
"96";"Arthroleptis_variabilis";1;NA;1;NA;1;0;0;NA
"97";"Arthroleptis_xenodactyloides";1;NA;1;NA;1;0;0;30
"98";"Ascaphus_truei";1;NA;1;NA;0;1;0;96
"99";"Assa_darlingtoni";1;NA;1;NA;0;1;0;14
"100";"Asterophrys_eurydactyla";NA;NA;NA;NA;NA;NA;NA;NA
"101";"Asterophrys_leucopus";1;NA;1;NA;1;0;0;NA
